id,total_count
68dcb367efaeec64e5eb73f7,5
68dcb5c9efaeec64e5eb73fe,4
68dcb649efaeec64e5eb73ff,5
68dcb66befaeec64e5eb7400,2
68dcb744efaeec64e5eb7403,10
68dcb74defaeec64e5eb7404,4
68dcb752efaeec64e5eb7406,14
68dcb91befaeec64e5eb740c,3
68dcbdc0efaeec64e5eb7416,4
68dcccedefaeec64e5eb7425,8
68dccf83efaeec64e5eb7429,0
68dcd267efaeec64e5eb742c,5
68dcd32aefaeec64e5eb7430,6
68dcd48eefaeec64e5eb7432,2
68dcd509efaeec64e5eb7433,7
68dcd6e6efaeec64e5eb7435,10
68dcd811efaeec64e5eb7438,7
68dcda63efaeec64e5eb743b,10
68dce292efaeec64e5eb7446,6
68dce458efaeec64e5eb7449,7
68dce858efaeec64e5eb744e,16
68dce8e5efaeec64e5eb7450,11
68dce957efaeec64e5eb7451,7
68dceab4efaeec64e5eb7453,9
68dcf289efaeec64e5eb7459,1
68dcf496efaeec64e5eb7460,5
68dcf820efaeec64e5eb7462,10
68dcff6eefaeec64e5eb746b,16
68dd0259efaeec64e5eb7470,1
68dd0608efaeec64e5eb7476,8
68dd0861efaeec64e5eb7479,9
68dd0a5defaeec64e5eb747d,9
68dd0afbefaeec64e5eb747e,8
68dd0afdefaeec64e5eb747f,7
68dd0ec4efaeec64e5eb7484,3
68dd12baefaeec64e5eb7488,5
68dd1590efaeec64e5eb748a,1
68dd1c04efaeec64e5eb7491,2
68dd2a61efaeec64e5eb7494,1
68dd67b8efaeec64e5eb7496,7
68dd8670efaeec64e5eb749e,7
68dd868cefaeec64e5eb749f,2
68dd9071efaeec64e5eb74a5,3
68dd956defaeec64e5eb74a8,4
68dd9699efaeec64e5eb74ab,9
68dd98faefaeec64e5eb74af,12
68dd9ac7efaeec64e5eb74b4,7
68dd9bbaefaeec64e5eb74b7,4
68dd9c41efaeec64e5eb74b8,11
68dd9e6defaeec64e5eb74bc,10
68dda1c3efaeec64e5eb74c2,4
68dda1f7efaeec64e5eb74c3,4
68dda7fdefaeec64e5eb74ca,7
68dda9c8efaeec64e5eb74ce,10
68ddaabbefaeec64e5eb74cf,8
68ddacc3efaeec64e5eb74d1,2
68ddadc8efaeec64e5eb74d3,3
68ddaeb1efaeec64e5eb74d6,4
68ddb001efaeec64e5eb74dc,4
68ddb003efaeec64e5eb74dd,4
68ddb3caefaeec64e5eb74e2,5
68ddb4d2efaeec64e5eb74e3,12
68ddbdb6efaeec64e5eb74e8,8
68ddbfc9efaeec64e5eb74ec,6
68ddcb60efaeec64e5eb74f3,4
68ddd27aefaeec64e5eb74f9,8
68ddd305efaeec64e5eb74fc,10
68ddd3bfefaeec64e5eb74fd,4
68ddd6ccefaeec64e5eb7500,6
68ddd7a8efaeec64e5eb7502,2
68dddb89efaeec64e5eb7509,0
68dddb93efaeec64e5eb750a,0
68dddecaefaeec64e5eb750f,10
68dddf7defaeec64e5eb7511,0
68dde12fefaeec64e5eb7517,3
68dde133efaeec64e5eb7518,7
68dde2adefaeec64e5eb751f,7
68dde322efaeec64e5eb7521,9
